Monitoring-Site	Remote-Site	?	Aug2013	Jul2013	Jun2013	May2013	Apr2013	Mar2013	Feb2013	Jan2013	Dec2012	Nov2012	Oct2012	Sep2012	Aug2012	Jul2012	Jun2012	May2012	Apr2012	Mar2012	Feb2012	Jan2012	Dec2011	Nov2011	Oct2011	Sep2011	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region
PK.PINGERISL-QAU.PERN.EDU	KE.SWIFTKENYA.COM.N1	?B	0	414.111	320.709	309.221	325.991	379.725	325.578	320.734	334.363	336.121	0	341.621	0	339.24	336.083	320.36	340.998	356.972	358.187	350.584	410.014	347.789	341.624	329.491	pingerisl-qau.pern.edu.pk	PK	South_Asia	ns1.swiftkenya.com	COM	Africa
PK.UOB.EDU.N3	PK.PERNLHRPOP.EDU.N1	?M	33.497	37.132	17.816	20.271	25.637	32.149	36.575	70.915	87.816	110.824	66.827	116.107	38.468	38.904	48.854	151.162	151.624	0	36.152	42.073	39.983	37.972	43.544	0	pinger.uob.edu.pk	PK	South_Asia	pingerlhr.pern.edu.pk	PK	South_Asia
PK.BUITMS.SEECS.EDU	IN.CDACMUMBAI.N1	?M	0	0	303.791	294.129	445.068	396.581	324.627	310.27	304.519	296.095	304.094	300.811	299.149	324.403	299.599	301.72	306.228	315.282	379.215	322.329	331.049	339.475	336.341	352.341	buitms.seecs.edu.pk	PK	South_Asia	pinger.cdacmumbai.in	IN	South_Asia
EDU.SLAC.STANFORD.N3	KE.AC.BRAEBURN	?r	315.911	308.152	305.785	300.096	304.364	318.566	306.558	317.824	319.861	323.257	332.363	345.648	349.712	354.511	369.627	359.311	345.184	399.151	356.338	374.768	375.381	403.103	348.139	399.424	pinger.slac.stanford.edu	EDU	North_America	elearning.braeburn.ac.ke	KE	Africa
PK.UOB.EDU.N3	IT.INFN.N7	?B	156.383	157.472	157.96	166.573	208.517	205.091	159.803	160.766	153.559	153.189	159.98	159.735	154.524	170.132	157.081	159.626	151.856	0	155.916	143.767	159.164	155.001	146.764	140.042	pinger.uob.edu.pk	PK	South_Asia	dxcnaf.cnaf.infn.it	IT	Europe
EDU.SLAC.STANFORD.N3	EDU.SLAC.STANFORD.N16	?r	0.334	0.66	1.641	1.839	1.099	1.055	0.998	1.347	0.71	0.892	1.309	0.56	0.411	0.5	0.47	0.418	0.628	1.189	0.934	0.762	0.973	0.718	0.52	0.386	pinger.slac.stanford.edu	EDU	North_America	www-wanmon.slac.stanford.edu	EDU	North_America
PK.PERNKHIPOP.EDU.N2	AU.AARNET.HOBART.N2	?B	367.175	410.951	359.311	223.774	251.147	371.952	377.741	353.788	346.029	349.436	355.062	470.023	469.523	453.997	456.78	394.724	418.654	454.868	458.914	180.207	181.2	182.916	184.6	182.453	pingerkhi.pern.edu.pk	PK	South_Asia	hba-a-pm1.aarnet.net.au	AU	Oceania
PK.PINGERISL-QAU.PERN.EDU	NP.NREN.NET.N2	?B	0	452.992	362.285	377.354	299.624	415.346	427.184	340.158	438.336	487.908	0	413.487	0	263.079	276.767	342.239	391.914	277.63	213.55	275.388	292.028	214.5	214.792	302.083	pingerisl-qau.pern.edu.pk	PK	South_Asia	www.nren.net.np	NP	South_Asia
PK.NCA.EDU.N2	RU.ITEP.N1	?B	206.959	206.418	230.524	209.329	285.426	230.889	208.533	212.24	221.382	209.209	211.977	212.538	207.358	202.833	202.241	204.91	203.768	219.055	211.064	201.654	215.442	217.971	208.995	244.067	pinger.nca.edu.pk	PK	South_Asia	mctest.itep.ru	RU	Russia
EDU.SLAC.STANFORD.N3	TG.UB.N1	?r	268.057	297.92	278.945	276.546	333.838	377.517	272.851	279.339	394.397	638.097	341.023	273.437	274.113	273.381	291.841	283.571	273.926	294.979	461.115	337.821	319.02	488.943	736.851	744.462	pinger.slac.stanford.edu	EDU	North_America	www.ub.tg	TG	Africa
PK.CEMB.EDU.N2	JP.RIKEN.N3	?M	447.909	457.109	411.354	318.064	329.333	454.977	450.45	440.064	437.765	473.89	472.53	449.086	427.477	424.327	420.053	351.31	250.104	226.277	292.084	348.251	336.695	360.208	343.144	355.035	pinger.cemb.edu.pk	PK	South_Asia	ping.riken.jp	JP	East_Asia
EDU.SLAC.STANFORD.N3	RU.NSK.N1	?M	390.639	395.845	329.067	348.89	282.571	259.771	248.707	247.1	244.752	250.615	277.322	280.566	265.425	266.988	272.245	270.579	266.868	263.458	263.921	266.649	276.077	280.43	289.917	283.57	pinger.slac.stanford.edu	EDU	North_America	rainbow.inp.nsk.su	SU	Russia
PK.VU.EDU	VE.CUC.EDU.N1	?B	316.663	318.609	325.959	321.856	304.502	324.455	300.06	314.092	337.033	320.669	322.056	320.313	306.836	303.313	299.518	325.518	319.376	316.448	316.529	312.612	317.545	330.559	309.811	315.36	pinger.vu.edu.pk	PK	South_Asia	www.cuc.edu.ve	VE	Latin_America
PK.LCWU.EDU.N2	KH.CAMNET.COM.N1	?B	0	0	0	0	242.67	480.918	481.432	425.374	331.167	350.692	336.148	349.4	367.398	329.536	337.387	258.165	227.295	223.309	341.932	487.681	345.611	418.39	445.674	467.303	pinger.lcwu.edu.pk	PK	South_Asia	www.camnet.com.kh	KH	S.E._Asia
PK.PINGER.IBA-SUK.EDU	HR.CARNET.N2	?B	0	161.681	162.47	170.624	204.094	253.349	168.948	172.324	178.419	211.618	195.871	189.825	190.792	187.003	192.64	197.877	210.29	212.009	214.827	202.726	205.497	201.128	194.289	213.612	pinger.iba-suk.edu.pk	PK	South_Asia	www.carnet.hr	HR	Balkans
PK.NUISB.SEECS.EDU	CH.EPFL.N1	?B	312.026	311.097	338.592	333.761	456.193	193.393	183.884	181.86	174.71	175.247	172.146	172.179	169.081	198.718	171.112	201.972	185.292	230.767	253.478	186.678	183.119	156.755	155.882	156.598	nuisb.seecs.edu.pk	PK	South_Asia	eltca1.epfl.ch	CH	Europe
PK.PERNFSBDPOP.EDU.N1	PK.NUISB.SEECS.EDU	?M	10.907	10.926	42.41	45.02	0	0	0	43.848	44.406	46.067	45.844	45.885	48.074	0	47.304	45.73	44.664	45.209	46.377	47.791	48.333	51.874	55.706	56.437	pingerfsbd.pern.edu.pk	PK	South_Asia	nuisb.seecs.edu.pk	PK	South_Asia
JP.RIKEN.N3	ES.ECM.UB.N1	?r	306.814	308.881	308.978	319.436	314.047	304.628	309.337	308.183	308.198	309.046	315.14	332.68	328.804	329.699	331.827	329.602	329.562	328.768	322.383	322.578	323.143	322.626	339.691	316.537	ping.riken.jp	JP	East_Asia	www.ecm.ub.es	ES	Europe
PK.AIOU.EDU.N2	PK.USINDH.EDU.N2	?M	0	30.354	31.814	28.37	26.364	27.811	27.651	28.184	28.352	29.669	29.451	33.571	32.935	31.442	30.788	30.386	31.813	32.137	29.743	32.156	29.24	85.132	78.243	37.03	pinger.aiou.edu.pk	PK	South_Asia	pinger.usindh.edu.pk	PK	South_Asia
EDU.SLAC.STANFORD.N3	EDU.SDSC.N1	?M	12.359	13.374	13.463	13.359	13.339	13.354	13.461	13.699	12.901	12.746	12.831	11.886	11.919	11.874	11.881	11.867	12.248	11.855	11.842	11.862	11.84	12.456	12.207	12.521	pinger.slac.stanford.edu	EDU	North_America	multivac.sdsc.edu	EDU	North_America
PK.NUKHIMAIN.SEECS.EDU	AL.ALBANIAONLINE.NET.N1	?B	0	201.031	201.677	198.878	226.052	212.869	213.458	200.978	212.423	180.217	188.916	180.207	173.492	207.498	182.372	189.748	178.345	217.971	220.584	228.723	229.491	221.618	156.1	201.454	nukhimain.seecs.edu.pk	PK	South_Asia	aol1.albaniaonline.net	NET	Balkans
GOV.DOE.N8	LT.MII.N1	?B	139.944	138.598	136.594	137.305	140.311	140.376	140.178	141.078	140.018	140.218	140.523	141.527	140.155	143.108	141.319	143.38	143.567	142.845	143.755	153.335	147.61	130.445	125.338	125.712	pinger.ascr.doe.gov	GOV	North_America	julius.ktl.mii.lt	LT	Balkans
GOV.ESNET.NOC.N4	LT.MII.N1	?B	202.362	200.99	201.653	201.517	201.462	200.804	202.469	202.884	202.236	202.703	215.457	215.601	215.264	215.053	213.26	220.675	223.034	217.535	218.48	218.673	220.051	204.374	200.673	200.868	pinger.es.net	NET	North_America	julius.ktl.mii.lt	LT	Balkans
PK.PINGERISL-FJWU.PERN.EDU	UA.KHARKOV.N1	?B	0	0	0	0	0	217.965	217.931	223.5	217.829	202.403	0	203.151	200.417	219.731	217.82	262.448	204.402	226.272	324.938	300.459	346.496	329.017	333.25	332.771	pingerisl-fjwu.pern.edu.pk	PK	South_Asia	mail.kipt.kharkov.ua	UA	Europe
PK.PERNLHRPOP.EDU.N1	PK.PERNPWRPOP.EDU.N2	?M	0	77.479	0	0	0	10.164	15.169	43.974	83.933	52.892	59.159	108.337	88.412	51.47	52.728	55.292	51.241	50.345	50.761	51.438	49.848	48.719	50.36	48.127	pingerlhr.pern.edu.pk	PK	South_Asia	pingerpwr.pern.edu.pk	PK	South_Asia
GOV.FNAL.N10	EDU.WISC.N1	?r	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hepnrc.hep.net	NET	North_America	lobelia.physics.wisc.edu	EDU	North_America
GOV.DOE.N8	GT.USAC.EDU.N1	?B	152.717	150.169	133.68	147.11	159.288	149.863	160.106	169.785	183.982	197.777	191.169	194.842	166.916	197.492	195.682	0	0	0	86.232	87.091	81.599	115.246	0	0	pinger.ascr.doe.gov	GOV	North_America	fisica.usac.edu.gt	GT	Latin_America
EDU.SLAC.STANFORD.N3	PH.GSIS.GOV	?r	196.444	200.846	199.783	211.009	202.271	196.939	186.409	185.748	200.536	205.563	201.568	201.818	194.038	204.56	206.048	205.953	203.49	203.609	201.335	208.297	200.384	207.367	0	0	pinger.slac.stanford.edu	EDU	North_America	www.gsis.gov.ph	PH	S.E._Asia
PK.QUEST.SEECS.EDU	PK.UPESH.EDU.N2	?M	31.244	32.772	34.865	28.647	27.729	31.483	68.574	54.73	58.028	61.636	57.174	0	0	65.444	71.21	75.99	88.857	85.766	90.589	85.201	71.388	68.1	71.13	57.438	quest.seecs.edu.pk	PK	South_Asia	www.upesh.edu.pk	PK	South_Asia
PK.KOHAT.EDU.N2	PK.NWFPUET.EDU.N1	?M	2.428	2.432	2.436	2.418	2.402	2.383	2.527	2.511	2.513	2.739	3.081	2.883	0	2.923	2.989	2.984	3.014	3.017	3.055	14.346	54.869	56.721	59.53	41.697	pinger.kohat.edu.pk	PK	South_Asia	pinger.nwfpuet.edu.pk	PK	South_Asia
PK.LCWU.EDU.N2	AL.ALBANIAONLINE.NET.N1	?B	203.406	0	224.594	218.463	282.868	257.329	230.527	221.222	224.125	195.978	198.422	202.054	191.024	214.579	189.84	176.16	176.259	188.129	226.979	167.759	173.388	182.938	180.603	203.013	pinger.lcwu.edu.pk	PK	South_Asia	aol1.albaniaonline.net	NET	Balkans
PK.PINGERLHR-GCU.PERN.EDU	LV.WEB-A-LVDATS.N1	?B	189.746	193.058	211.687	196.405	261.177	250.428	197.679	201.406	199.081	201.133	198.248	198.984	189.065	187.933	187.603	196.449	189.586	200.114	200.363	187.051	188.132	191.366	184.213	0	pingerlhr-gcu.pern.edu.pk	PK	South_Asia	web-a.lvdats.lv	LV	Europe
PK.LCWU.EDU.N2	PK.PINGERLHR-PU.PERN.EDU	?M	0.918	0	1.051	0.997	1.124	1.234	1.063	0.98	0.688	0.676	0.696	0.676	0.916	0.939	0.944	0.941	0.94	0.941	0.941	0.941	0.942	0.944	0.942	0	pinger.lcwu.edu.pk	PK	South_Asia	pingerlhr-pu.pern.edu.pk	PK	South_Asia
EDU.STANFORD.N9	EE.UT.N1	?B	190.671	190.16	192.682	193.67	198.181	197.063	195.27	194.717	195.606	198.569	200.714	198.858	195.749	196.249	194.953	196.672	202.345	196.352	208.055	208.632	209.531	208.163	207.667	202.338	pinger.stanford.edu	EDU	North_America	kadri.ut.ee	EE	East_Europe
GOV.ESNET.NOC.N4	AL.ALBANIAONLINE.NET.N1	?B	237.774	222.392	209.468	202.578	210.436	215.235	214.177	209.402	209.886	214.177	225.016	225.898	221.281	219.809	221.254	222.163	219.107	216.323	214.755	215.348	212.205	209.001	218.615	217.004	pinger.es.net	NET	North_America	aol1.albaniaonline.net	NET	Balkans
PK.PINGERLHR-GCU.PERN.EDU	AR.INNOVA-RED.NET.N1	?B	0	0	0	0	465.369	407.097	402.816	400.01	416.575	383.745	391.612	384.382	376.578	390.557	375.492	399.488	414.584	420.127	393.125	389.084	400.827	401.728	389.139	0	pingerlhr-gcu.pern.edu.pk	PK	South_Asia	www.innova-red.net	NET	Latin_America
PK.NUML.EDU	PK.NWFPUET.EDU.N1	?M	0	4.421	5.87	4.574	4.577	5.777	5.011	4.671	4.968	4.393	51.482	52.118	52.949	53.618	55.031	54.803	54.152	57.855	53.539	55.031	53.252	54.073	53.909	55.256	pinger.numl.edu.pk	PK	South_Asia	pinger.nwfpuet.edu.pk	PK	South_Asia
PK.QUEST.SEECS.EDU	PK.VU.EDU	?M	27.092	26.014	41.685	23.986	23.801	28.307	50.956	43.891	46.518	59.003	48.399	0	0	0	46.236	53.641	71.612	50.957	54.296	44.538	58.896	54.349	0	0	quest.seecs.edu.pk	PK	South_Asia	pinger.vu.edu.pk	PK	South_Asia
EDU.SLAC.STANFORD.N3	BF.LONAB.N1	?r	354.618	368.691	289.266	269.97	287.584	303.228	350.77	391.821	368.976	304.792	301.539	328.94	422.916	290.807	305.249	290.14	288.565	300.531	299.944	281.586	274.628	275.607	279.149	440.425	pinger.slac.stanford.edu	EDU	North_America	www.lonab.bf	BF	Africa
PK.PINGERLHR-GCU.PERN.EDU	PK.BUITMS.SEECS.EDU	?M	0	0	19.154	20.374	23.994	36.734	39.04	70.927	134.742	143.882	140.964	109.681	45.062	37.042	46.241	147.053	150.06	154.853	56.489	37.584	40.14	0	37.592	0	pingerlhr-gcu.pern.edu.pk	PK	South_Asia	buitms.seecs.edu.pk	PK	South_Asia
GOV.ESNET.NOC.N4	AU.AARNET.CANBERRA.NET	?B	164.486	164.377	166.399	167.913	168.035	181.722	171.704	169.288	168.759	168.11	168.839	168.789	168.672	168.63	168.523	171.26	175.058	167.66	168.756	170.716	167.648	171.864	172.935	190.624	pinger.es.net	NET	North_America	cbr-a-ext1.aarnet.net.au	AU	Oceania
PK.PINGERKHI-CPSP.PERN.EDU	GA.TRESOR.N1	?B	301.257	298.684	294.452	292.755	369.042	382.264	348.688	389.687	454.163	426.126	430.517	423.234	345.207	364.679	389.4	385.091	349.334	350.256	348.312	475.437	498.914	744.149	386.054	545.993	pingerkhi-cpsp.pern.edu.pk	PK	South_Asia	www.tresor.ga	GA	Africa
EDU.SLAC.STANFORD.N3	PK.SEECS.EDU.N6	?M	334.347	342.126	331.827	322.268	318.742	358.003	343.693	338.624	315.941	342.805	333.13	305.06	309.297	329.929	310.099	297.519	299.782	307.725	298.098	308.467	316.046	0	0	0	pinger.slac.stanford.edu	EDU	North_America	maggie1.seecs.edu.pk	PK	South_Asia
PK.ISRA.EDU.N2	IL.WEIZMANN.AC.N1	?B	0	0	0	225.119	249.701	248.587	218.218	218.099	219.728	215.018	219.513	216.594	217.208	215.571	201.516	220.33	223.151	244.901	192.904	190.97	208.692	204.082	227.624	274.794	pinger.isra.edu.pk	PK	South_Asia	www.weizmann.ac.il	IL	Middle_East
IN.PUNE.CDAC.N2	LK.LEARN.AC.N1	?B	63.675	95.365	97.361	0	0	66.844	85.679	105.97	91.241	145.236	162.3	74.241	82.994	104.623	77.065	75.829	81.183	89.984	82.152	77.043	87.783	111.752	118.492	76.962	pinger.cdac.in	IN	South_Asia	namunu.learn.ac.lk	LK	South_Asia
PK.COMSATS.EDU.N2	BD.DUET.AC.N1	?B	165.845	169.597	165.866	166.264	168.038	311.112	332.67	404.558	431.683	352.826	361.855	373.6	332.004	347.537	583.962	765.775	508.786	563.363	664.122	429.826	280.523	479.066	531.935	602.284	pinger.comsats.edu.pk	PK	South_Asia	www.duet.ac.bd	BD	South_Asia
PK.UETTAXILA.EDU.N1	KH.CAMNET.COM.N1	?B	0	0	0	0	0	330.452	328.304	343.642	381.708	355.467	335.806	432.536	464.516	502.759	496.088	515.917	510.855	385.035	389.496	378.631	401.207	449.905	519.551	507.636	pinger.uettaxila.edu.pk	PK	South_Asia	www.camnet.com.kh	KH	S.E._Asia
PK.NCP.EDU.N3	PK.GIKI.EDU.N3	?r	0	0	0	57.332	60.906	66.942	71.842	60.818	63.697	62.276	60.243	58.238	56.182	57.995	55.317	58.556	58.348	56.151	63.08	66.827	102.489	60.701	101.389	94.403	pinger-ncp.ncp.edu.pk	PK	South_Asia	www.giki.edu.pk	PK	South_Asia
IN.PUNE.CDAC.N2	CR.CUC.AC.N1	?B	334.652	292.958	337.793	0	0	395.287	419.868	410.637	386.246	443.004	430.376	429.046	452.553	331.449	373.604	384.473	385.767	382.77	375.469	373.705	362.884	362.163	359.235	375.876	pinger.cdac.in	IN	South_Asia	www.cuc.ac.cr	CR	Latin_America
PK.AIOU.EDU.N2	PK.SEECS.EDU.N7	?M	0	3.223	3.392	3.604	3.573	3.664	3.446	5.863	7.408	6.077	3.628	4.759	13.717	8.929	7.385	38.533	32.77	33.454	24.238	3.06	5.574	0	0	0	pinger.aiou.edu.pk	PK	South_Asia	maggie2.seecs.edu.pk	PK	South_Asia
PK.SEECS.EDU.N2	BY.MTEC.N1	?B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	monitor.seecs.edu.pk	PK	South_Asia	www.mtec.by	BY	Europe
PK.BUITMS.SEECS.EDU	PK.NUML.EDU	?M	0	0	26.918	26.628	29.215	37.696	41.452	39.328	38.665	40.218	42.202	45.595	48.018	44.731	45.908	48.305	45.635	46.148	46.74	47.316	46.23	44.404	45.479	45.85	buitms.seecs.edu.pk	PK	South_Asia	pinger.numl.edu.pk	PK	South_Asia
PK.PINGERISL-FJWU.PERN.EDU	PK.PERNLHRPOP.EDU.N1	?M	0	0	0	0	0	25.865	28.604	16.484	44.099	44.318	0	46.654	43.444	45.095	43.308	31.764	30.399	30.647	32.339	32.828	31.745	31.15	31.567	32.879	pingerisl-fjwu.pern.edu.pk	PK	South_Asia	pingerlhr.pern.edu.pk	PK	South_Asia
PK.PERNKHIPOP.EDU.N2	AF.MOD.GOV.AF	?B	706.193	712.83	869.386	712.245	750.293	770.681	2030.729	2192.335	763.871	738.995	757.355	742.543	828.565	710.471	748.639	733.02	1011.303	0	0	0	705.137	0	731.399	822.836	pingerkhi.pern.edu.pk	PK	South_Asia	www.mod.gov.af	AF	South_Asia
PK.AUP.SEECS.EDU	CA.TRIUMF.N1	?M	309.906	313.124	314.448	314.668	329.478	321.825	308.544	0	315.776	317.509	322.61	319.827	308.509	318.483	313.098	314.095	317.313	328.776	337.028	325.619	322.698	0	0	0	aup.seecs.edu.pk	PK	South_Asia	sitka.triumf.ca	CA	North_America
PK.SEECS.EDU.N6	PY.WWW.UNA.N1	?B	425.353	425.312	425.333	417.519	467.73	430.459	420.781	433.413	432.065	406.11	403.319	412.226	409.67	430.467	436.921	461.157	468.422	418.753	429.016	468.603	493.665	0	0	0	maggie1.seecs.edu.pk	PK	South_Asia	www.una.py	PY	Latin_America
PK.SEECS.EDU.N7	PK.CEMB.EDU.N2	?M	13.1	13.67	14.766	14.605	13.628	16.948	30.626	35.876	28.022	18.853	20.119	37.706	33.691	41.991	50.722	50.966	45.576	48.659	41.193	31.765	34.983	0	0	0	maggie2.seecs.edu.pk	PK	South_Asia	pinger.cemb.edu.pk	PK	South_Asia
PK.KOHAT.EDU.N2	HU.KFKI.N1	?B	180.276	177.202	182.715	194.053	226.513	277.531	184.805	192.194	183.405	186.762	189.928	190.413	0	175.774	175.306	174.528	173.035	176.444	180.545	190.283	223.378	232.354	239.439	226.698	pinger.kohat.edu.pk	PK	South_Asia	ping.rmki.kfki.hu	HU	Europe
EDU.SLAC.STANFORD.N3	PK.AIOU.EDU.N2	?M	0	309.05	351.528	323.995	322.696	322.069	317.036	305.479	306.845	318.694	302.468	296.788	301.266	319.639	307.975	303.814	299.281	309.859	310.019	301.899	306.679	305.025	296.378	302.217	pinger.slac.stanford.edu	EDU	North_America	pinger.aiou.edu.pk	PK	South_Asia
PK.PERNFSBDPOP.EDU.N1	UA.KHARKOV.N1	?B	191.717	197.284	199.557	203.588	0	0	0	192.606	200.532	221.648	194.3	198.062	195.033	196.971	195.574	200.529	201.556	214.507	217.243	204.11	200.244	201.367	198.935	224.598	pingerfsbd.pern.edu.pk	PK	South_Asia	mail.kipt.kharkov.ua	UA	Europe
EDU.SLAC.STANFORD.N3	ID.DNET.NET.N1	?B	0	205.897	212.924	216.739	221.1	216.609	222.11	218.245	220.633	212.157	210.795	210.714	210.13	212.845	211.232	207.72	216.349	219.273	253.027	298.153	290.743	321.099	329.2	320.178	pinger.slac.stanford.edu	EDU	North_America	speedtest.sby.dnet.net.id	ID	S.E._Asia
PK.CAE.SEECS.EDU	PK.KINNAIRD.SEECS.EDU	?M	60.361	70.156	83.903	63.795	59.941	62.152	64.89	133.625	75.289	65.509	64.928	72.946	63.45	60.963	65.144	66.493	69.608	64.196	64.109	73.782	118.187	116.149	95.615	82.358	cae.seecs.edu.pk	PK	South_Asia	kinnaird.seecs.edu.pk	PK	South_Asia
PK.KOHAT.EDU.N2	LS.LESOTHO.GOV.N1	?B	388.828	382.354	377.04	371.12	350.991	332.225	327.265	343.398	356.751	328.69	332.992	331.629	0	341.941	368.094	389.827	381.823	378.211	378.458	387.233	429.125	432.816	437.701	442.304	pinger.kohat.edu.pk	PK	South_Asia	www.lesotho.gov.ls	LS	Africa
PK.VU.EDU	SN.COLLEGE.EDU.N1	?B	210.537	224.948	216.476	206.458	217.466	258.888	220.326	234.954	225.965	219.882	222.106	223.002	213.911	221.709	239.093	262.34	250.221	231.051	230.145	241.502	226.913	248.082	226.911	223.566	pinger.vu.edu.pk	PK	South_Asia	www.college.edu.sn	SN	Africa
PK.PINGERQTA.PERN.EDU.N2	BD.DUET.AC.N1	?B	349.785	311.816	347.558	355.565	340.122	327.723	323.142	408.286	365.509	356.864	342.929	342.237	0	398.342	511.591	897.526	385.211	595.432	733.899	666.497	522.681	649.489	636.159	645.663	pingerqta.pern.edu.pk	PK	South_Asia	www.duet.ac.bd	BD	South_Asia
PK.LCWU.EDU.N2	IT.INFN.N6	?B	182.584	0	185.766	198.799	263.369	263.703	174.892	174.104	179.075	183.811	183.273	331.112	173.257	183.113	177.01	209.794	173.215	178.953	170.638	156.588	169.686	161.569	156.393	157.687	pinger.lcwu.edu.pk	PK	South_Asia	dsna1.na.infn.it	IT	Europe
PK.PERNFSBDPOP.EDU.N1	PK.UPESH.EDU.N2	?M	10.372	10.436	33.993	29.98	0	0	0	16.998	17.376	17.555	16.97	17.414	18.691	16.856	16.174	16.919	15.546	15.742	16.978	16.513	19.403	21.901	28.513	30.259	pingerfsbd.pern.edu.pk	PK	South_Asia	www.upesh.edu.pk	PK	South_Asia
GOV.FNAL.N10	EDU.SDSC.N4	?r	58.537	58.68	59.533	58.665	59.378	59.375	60.718	60.459	60.267	60.552	64.756	64.584	64.141	64.133	64.326	64.533	65.466	64.29	64.099	64.053	64.657	63.979	64.346	63.965	hepnrc.hep.net	NET	North_America	www.sdsc.edu	EDU	North_America
PK.QUEST.SEECS.EDU	ET.STMARYCOLLEGE.N3	?B	1127.312	1102.881	1146.785	785.289	1050.399	1095.401	1248.103	1233.523	1776.162	1452.174	1070.513	0	0	936.436	1542.316	2129.086	807.9	424.477	603.728	662.316	0	0	0	0	quest.seecs.edu.pk	PK	South_Asia	www.stmaryuniversitycollege.edu.et	ET	Africa
PK.VU.EDU	SG.SINGAREN.NET.N1	?B	297.375	382.289	312.299	297.011	285.594	474.733	446.849	402.41	320.902	333.3	304.112	305.513	288.333	288.575	313.227	311.732	305.675	314.067	383.561	418.416	363.973	445.576	380.339	414.75	pinger.vu.edu.pk	PK	South_Asia	www.singaren.net.sg	SG	S.E._Asia
PK.ISRA.EDU.N2	AU.AARNET.BRISBANE.NET	?B	475.227	465.478	469.787	461.667	461.306	460.903	456.605	467.795	483.164	456.727	462.202	460.828	453.188	467.393	453.374	470.703	479.069	479.894	468.201	462.886	468.608	470.259	485.011	515.491	pinger.isra.edu.pk	PK	South_Asia	bne-a-ext1.aarnet.net.au	AU	Oceania
PK.UETTAXILA.EDU.N1	EC.IMPSAT.NET.N1	?B	0	0	406.847	400.422	0	400.041	391.49	402.373	407.048	389.164	393.841	394.855	393.221	396.3	376.57	372.838	372.899	384.486	385.258	374.927	373.333	403.832	407.341	416.89	pinger.uettaxila.edu.pk	PK	South_Asia	gye.impsat.net.ec	EC	Latin_America
PK.COMSATS.EDU.N2	SI.UNI-MB.N1	?B	190.27	180.891	191.178	187.429	214.341	232.117	182.851	187.633	182.344	179.323	183.921	183.903	178.082	180.581	176.108	180.526	180.526	192.824	188.602	175.971	178.043	178.546	179.466	194.036	pinger.comsats.edu.pk	PK	South_Asia	www.uni-mb.si	SI	Balkans
DE.DESY.N1	HR.CARNET.N2	?B	50.282	50.043	52.205	52.568	48.01	32.256	32.669	33.146	34.248	38.728	40.65	41.935	41.953	41.95	41.958	41.92	42.034	42.081	42.069	42.115	42.04	41.986	42.117	42.135	ping.desy.de	DE	Europe	www.carnet.hr	HR	Balkans
BR.ACMESECURITY.ORG	LV.WEB-A-LVDATS.N1	?B	277.477	276.079	272.968	274.564	274.534	275.369	263.922	262.362	264.518	265.961	272.632	277.919	278.355	283.233	281.211	276.887	311.407	0	0	282.269	278.954	279.622	286.029	285.829	pinger.acmesecurity.org	ORG	Latin_America	web-a.lvdats.lv	LV	Europe
TW.NCHC.ORG.N2	VE.CUC.EDU.N1	?B	276.317	261.956	268.089	0	0	275.251	0	0	0	265.602	262.766	266.27	264.483	261.688	267.012	282.972	277.356	270.646	270.457	271.876	264.071	270.983	269.276	280.031	pinger.nchc.org.tw	TW	East_Asia	www.cuc.edu.ve	VE	Latin_America
BR.ORG.SPRACE.N2	NP.NREN.NET.N2	?B	476.188	480.41	476.598	474.099	475.266	472.352	472.441	481.029	480.919	492.688	494.185	472.409	470.062	477.728	475.079	471.694	509.697	474.517	472.654	472.093	472.715	474.055	470.654	473.598	pinger.sprace.org.br	BR	Latin_America	www.nren.net.np	NP	South_Asia
PK.PINGERKHI-CPSP.PERN.EDU	LT.MII.N1	?B	162.73	170.209	167.602	175.443	221.553	231.095	182.13	191.173	187.409	178.458	182.532	177.791	174.364	174.183	173.153	174.256	177.124	182.414	185.522	173.067	175.277	162.704	155.267	191.89	pingerkhi-cpsp.pern.edu.pk	PK	South_Asia	julius.ktl.mii.lt	LT	Balkans
HK.CSE.UST.N1	AU.AARNET.CANBERRA.NET	?B	208.563	184.406	181.882	141.029	171.493	355.53	275.374	165.199	178.118	184.227	599.401	127.834	127.794	175.065	445.532	216.707	307.304	392.272	230.545	216.898	221.357	218.638	220.261	219.464	pinger.cse.ust.hk	HK	East_Asia	cbr-a-ext1.aarnet.net.au	AU	Oceania
BR.UNESP.N1	BD.DUET.AC.N1	?B	466.205	424.544	458.929	463.83	466.057	462.004	458.582	440.387	425.36	439.809	431.84	459.889	460.478	435.72	554.819	672.969	692.008	633.441	653.517	644.858	0	747.955	576.206	585.157	pinger.unesp.br	BR	Latin_America	www.duet.ac.bd	BD	South_Asia
PK.UOB.EDU.N3	PK.NUISB.SEECS.EDU	?M	39.588	35.311	27.014	27.177	24.553	39.334	39.223	40.298	39.203	38.709	40.262	46.274	39.092	41.674	38.536	41.514	41.449	0	43.112	0	0	0	0	0	pinger.uob.edu.pk	PK	South_Asia	nuisb.seecs.edu.pk	PK	South_Asia
